Column1,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,7590-VHVEG,Female,FALSE,TRUE,FALSE,1,FALSE,,DSL,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Month-to-month,TRUE,Electronic check,29.85000038,29.85000038,FALSE
1,5575-GNVDE,Male,FALSE,FALSE,FALSE,34,TRUE,FALSE,DSL,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,One year,FALSE,Mailed check,56.95000076,1889.5,FALSE
2,3668-QPYBK,Male,FALSE,FALSE,FALSE,2,TRUE,FALSE,DSL,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Month-to-month,TRUE,Mailed check,53.84999847,108.1500015,TRUE
3,7795-CFOCW,Male,FALSE,FALSE,FALSE,45,FALSE,,DSL,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,One year,FALSE,Bank transfer (automatic),42.29999924,1840.75,FALSE
4,9237-HQITU,Female,FALSE,FALSE,FALSE,2,TRUE,FALSE,Fiber optic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Month-to-month,TRUE,Electronic check,70.69999695,151.6499939,TRUE
5,9305-CDSKC,Female,FALSE,FALSE,FALSE,8,TRUE,TRUE,Fiber optic,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Month-to-month,TRUE,Electronic check,99.65000153,820.5,TRUE
6,1452-KIOVK,Male,FALSE,FALSE,TRUE,22,TRUE,TRUE,Fiber optic,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Month-to-month,TRUE,Credit card (automatic),89.09999847,1949.400024,FALSE
7,6713-OKOMC,Female,FALSE,FALSE,FALSE,10,FALSE,,DSL,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Month-to-month,FALSE,Mailed check,29.75,301.8999939,FALSE
8,7892-POOKP,Female,FALSE,TRUE,FALSE,28,TRUE,TRUE,Fiber optic,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Month-to-month,TRUE,Electronic check,104.8000031,3046.050049,TRUE
9,6388-TABGU,Male,FALSE,FALSE,TRUE,62,TRUE,FALSE,DSL,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,One year,FALSE,Bank transfer (automatic),56.15000153,3487.949951,FALSE
10,9763-GRSKD,Male,FALSE,TRUE,TRUE,13,TRUE,FALSE,DSL,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Month-to-month,TRUE,Mailed check,49.95000076,587.4500122,FALSE
11,7469-LKBCI,Male,FALSE,FALSE,FALSE,16,TRUE,FALSE,No,,,,,,,Two year,FALSE,Credit card (automatic),18.95000076,326.7999878,FALSE
12,8091-TTVAX,Male,FALSE,TRUE,FALSE,58,TRUE,TRUE,Fiber optic,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,One year,FALSE,Credit card (automatic),100.3499985,5681.100098,FALSE
13,0280-XJGEX,Male,FALSE,FALSE,FALSE,49,TRUE,TRUE,Fiber optic,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Month-to-month,TRUE,Bank transfer (automatic),103.6999969,5036.299805,TRUE
14,5129-JLPIS,Male,FALSE,FALSE,FALSE,25,TRUE,FALSE,Fiber optic,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Month-to-month,TRUE,Electronic check,105.5,2686.050049,FALSE
15,3655-SNQYZ,Female,FALSE,TRUE,TRUE,69,TRUE,TRUE,Fiber optic,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Two year,FALSE,Credit card (automatic),113.25,7895.149902,FALSE
16,8191-XWSZG,Female,FALSE,FALSE,FALSE,52,TRUE,FALSE,No,,,,,,,One year,FALSE,Mailed check,20.64999962,1022.950012,FALSE
17,9959-WOFKT,Male,FALSE,FALSE,TRUE,71,TRUE,TRUE,Fiber optic,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Two year,FALSE,Bank transfer (automatic),106.6999969,7382.25,FALSE
18,4190-MFLUW,Female,FALSE,TRUE,TRUE,10,TRUE,FALSE,DSL,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Month-to-month,FALSE,Credit card (automatic),55.20000076,528.3499756,TRUE
19,4183-MYFRB,Female,FALSE,FALSE,FALSE,21,TRUE,FALSE,Fiber optic,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Month-to-month,TRUE,Electronic check,90.05000305,1862.900024,FALSE
20,8779-QRDMV,Male,TRUE,FALSE,FALSE,1,FALSE,,DSL,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Month-to-month,TRUE,Electronic check,39.65000153,39.65000153,TRUE
21,1680-VDCWW,Male,FALSE,TRUE,FALSE,12,TRUE,FALSE,No,,,,,,,One year,FALSE,Bank transfer (automatic),19.79999924,202.25,FALSE
22,1066-JKSGK,Male,FALSE,FALSE,FALSE,1,TRUE,FALSE,No,,,,,,,Month-to-month,FALSE,Mailed check,20.14999962,20.14999962,TRUE
23,3638-WEABW,Female,FALSE,TRUE,FALSE,58,TRUE,TRUE,DSL,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Two year,TRUE,Credit card (automatic),59.90000153,3505.100098,FALSE
24,6322-HRPFA,Male,FALSE,TRUE,TRUE,49,TRUE,FALSE,DSL,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Month-to-month,FALSE,Credit card (automatic),59.59999847,2970.300049,FALSE
25,6865-JZNKO,Female,FALSE,FALSE,FALSE,30,TRUE,FALSE,DSL,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Month-to-month,TRUE,Bank transfer (automatic),55.29999924,1530.599976,FALSE
26,6467-CHFZW,Male,FALSE,TRUE,TRUE,47,TRUE,TRUE,Fiber optic,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Month-to-month,TRUE,Electronic check,99.34999847,4749.149902,TRUE
27,8665-UTDHZ,Male,FALSE,TRUE,TRUE,1,FALSE,,DSL,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Month-to-month,FALSE,Electronic check,30.20000076,30.20000076,TRUE
28,5248-YGIJN,Male,FALSE,TRUE,FALSE,72,TRUE,TRUE,DSL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Two year,TRUE,Credit card (automatic),90.25,6369.450195,FALSE
29,8773-HHUOZ,Female,FALSE,FALSE,TRUE,17,TRUE,FALSE,DSL,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Month-to-month,TRUE,Mailed check,64.69999695,1093.099976,TRUE
30,3841-NFECX,Female,TRUE,TRUE,FALSE,71,TRUE,TRUE,Fiber optic,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Two year,TRUE,Credit card (automatic),96.34999847,6766.950195,FALSE
31,4929-XIHVW,Male,TRUE,TRUE,FALSE,2,TRUE,FALSE,Fiber optic,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Month-to-month,TRUE,Credit card (automatic),95.5,181.6499939,FALSE
