,Unnamed: 0,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,3853.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,29.85000038,29.85000038,0.0
1,1,2831.0,1.0,0.0,0.0,0.0,34,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,56.95000076,1889.5,0.0
2,2,1847.0,1.0,0.0,0.0,0.0,2,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,53.84999847,108.1500015,1.0
3,3,3965.0,1.0,0.0,0.0,0.0,45,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,42.29999924,1840.75,0.0
4,4,4648.0,0.0,0.0,0.0,0.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,70.69999695,151.6499939,1.0
5,5,4679.0,0.0,0.0,0.0,0.0,8,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,99.65000153,820.5,1.0
6,6,718.0,1.0,0.0,0.0,1.0,22,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,89.09999847,1949.400024,0.0
7,7,3418.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,29.75,301.8999939,0.0
8,8,4011.0,0.0,0.0,1.0,0.0,28,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,104.8000031,3046.050049,1.0
9,9,3243.0,1.0,0.0,0.0,1.0,62,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,56.15000153,3487.949951,0.0
10,10,4910.0,1.0,0.0,1.0,1.0,13,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,49.95000076,587.4500122,0.0
11,11,3790.0,1.0,0.0,0.0,0.0,16,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,18.95000076,326.7999878,0.0
12,12,4124.0,1.0,0.0,1.0,0.0,58,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,100.3499985,5681.100098,0.0
13,13,136.0,1.0,0.0,0.0,0.0,49,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,103.6999969,5036.299805,1.0
14,14,2588.0,1.0,0.0,0.0,0.0,25,1.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,105.5,2686.050049,0.0
15,15,1844.0,0.0,0.0,1.0,1.0,69,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,113.25,7895.149902,0.0
16,16,4172.0,0.0,0.0,0.0,0.0,52,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,20.64999962,1022.950012,0.0
17,17,5026.0,1.0,0.0,0.0,1.0,71,1.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,106.6999969,7382.25,0.0
18,18,2109.0,0.0,0.0,1.0,1.0,10,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,55.20000076,528.3499756,1.0
19,19,2101.0,0.0,0.0,0.0,0.0,21,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,90.05000305,1862.900024,0.0
20,20,4436.0,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,39.65000153,39.65000153,1.0
